Ipc-image Image,Ipc-image Image.1,Ipc-lockup-overlay URL,Title,Title.1,Ipc-inline-list__item,Ipc-inline-list__item.1,Rating,Rating.1,Ipc-html-content-inner-div,Ipc-inline-list__item.2,Sc-9fe7b0ef-0,genre,image_path,download_error,valid_image
"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Tim Robbins in The Shawshank Redemption (1994),https://www.imdb.com/title/tt0111161/?ref_=sr_i_1,https://www.imdb.com/title/tt0111161/?ref_=sr_t_1,1. The Shawshank Redemption,1994,2h 22m,9.3,( 3.2M ),A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,R,82.0,Drama_Crime,images\0.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg",Marlon Brando in The Godfather (1972),https://www.imdb.com/title/tt0068646/?ref_=sr_i_2,https://www.imdb.com/title/tt0068646/?ref_=sr_t_2,2. The Godfather,1972,2h 55m,9.2,( 2.2M ),The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,R,100.0,Drama_Crime,images\1.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX180_CR0,0,180,266_.jpg",Christian Bale in The Dark Knight (2008),https://www.imdb.com/title/tt0468569/?ref_=sr_i_3,https://www.imdb.com/title/tt0468569/?ref_=sr_t_3,3. The Dark Knight,2008,2h 32m,9.1,( 3.2M ),"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",PG-13,85.0,Comedy,images\2.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNzVjOWEwYjEtNDJhOC00YjUyLThjMWItMDQwZGY1ODM4YzI3XkEyXkFqcGc@._V1_QL75_UY266_CR4,0,180,266_.jpg",Attack on Titan: The Last Attack (2024),https://www.imdb.com/title/tt33175825/?ref_=sr_i_4,https://www.imdb.com/title/tt33175825/?ref_=sr_t_4,4. Attack on Titan: The Last Attack,2024,2h 25m,9.1,( 27K ),"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.",,,Action_Adventure,images\3.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg","Liv Tyler, Sean Astin, Elijah Wood, Viggo Mortensen, Ian McKellen, and Andy Serkis in The Lord of the Rings: The Return of the King (2003)",https://www.imdb.com/title/tt0167260/?ref_=sr_i_5,https://www.imdb.com/title/tt0167260/?ref_=sr_t_5,5. The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,( 2.2M ),Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG-13,94.0,Action_Adventure,images\4.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Schindler's List (1993),https://www.imdb.com/title/tt0108052/?ref_=sr_i_6,https://www.imdb.com/title/tt0108052/?ref_=sr_t_6,6. Schindler's List,1993,3h 15m,9.0,( 1.6M ),"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R,95.0,Action_Adventure,images\5.jpg,,True
"https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX180_CR0,5,180,266_.jpg","Henry Fonda, Martin Balsam, Jack Klugman, Lee J. Cobb, Ed Begley, Edward Binns, John Fiedler, E.G. Marshall, Joseph Sweeney, George Voskovec, Jack Warden, and Robert Webber in 12 Angry Men (1957)",https://www.imdb.com/title/tt0050083/?ref_=sr_i_7,https://www.imdb.com/title/tt0050083/?ref_=sr_t_7,7. 12 Angry Men,1957,1h 36m,9.0,( 981K ),The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Approved,97.0,Horror_Thriller,images\6.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Al Pacino in The Godfather Part II (1974),https://www.imdb.com/title/tt0071562/?ref_=sr_i_8,https://www.imdb.com/title/tt0071562/?ref_=sr_t_8,8. The Godfather Part II,1974,3h 22m,9.0,( 1.5M ),"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",R,90.0,Animation_Family,images\7.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg","Liv Tyler, Sean Astin, Sean Bean, Elijah Wood, Cate Blanchett, Viggo Mortensen, Ian McKellen, Orlando Bloom, Billy Boyd, Dominic Monaghan, and John Rhys-Davies in The Lord of the Rings: The Fellowship of the Ring (2001)",https://www.imdb.com/title/tt0120737/?ref_=sr_i_9,https://www.imdb.com/title/tt0120737/?ref_=sr_t_9,9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,( 2.2M ),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,PG-13,92.0,Horror_Thriller,images\8.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX180_CR0,0,180,266_.jpg","Leonardo DiCaprio, Joseph Gordon-Levitt, Tom Hardy, Elliot Page, Ken Watanabe, and Dileep Rao in Inception (2010)",https://www.imdb.com/title/tt1375666/?ref_=sr_i_10,https://www.imdb.com/title/tt1375666/?ref_=sr_t_10,10. Inception,2010,2h 28m,8.8,( 2.8M ),"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",PG-13,74.0,Sci_Fi,images\9.jpg,,True
