Ipc-image Image,Ipc-image Image.1,Ipc-lockup-overlay URL,Title,Title.1,Ipc-inline-list__item,Ipc-inline-list__item.1,Rating,Rating.1,Ipc-html-content-inner-div,Ipc-inline-list__item.2,Sc-9fe7b0ef-0,genre,image_path,download_error,valid_image
"https://m.media-amazon.com/images/M/MV5BNDlhMDI3OTQtNTBkYy00NWQ5LWJmNWEtZGQwYzZlMTQ4MDI1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Mia Farrow in Rosemary's Baby (1968),https://www.imdb.com/title/tt0063522/?ref_=sr_i_405,https://www.imdb.com/title/tt0063522/?ref_=sr_t_405,405. Rosemary's Baby,1968,2h 17m,8.0,( 257K ),A young woman suspects her neighbors have sinister plans for her pregnancy.,R,96.0,Drama_Crime,images\404.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNzI2ZDAyNjYtNzgwOS00MTRlLWE3MjUtMTI3M2VmYzQ1ZWJmXkEyXkFqcGc@._V1_QL75_UX180_CR0,4,180,266_.jpg",John Belushi and Dan Aykroyd in The Blues Brothers (1980),https://www.imdb.com/title/tt0080455/?ref_=sr_i_523,https://www.imdb.com/title/tt0080455/?ref_=sr_t_523,523. The Blues Brothers,1980,2h 13m,7.9,( 229K ),"Jake Blues rejoins his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",R,60.0,Drama_Crime,images\522.jpg,,True
"https://m.media-amazon.com/images/M/MV5BYjEwOGZmM2QtNjY4Mi00NjI0LTkyZjItZDEzZGI1YTEzMDg1XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Bérénice Bejo and Jean Dujardin in The Artist (2011),https://www.imdb.com/title/tt1655442/?ref_=sr_i_750,https://www.imdb.com/title/tt1655442/?ref_=sr_t_750,750. The Artist,2011,1h 40m,7.8,( 255K ),"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.",PG-13,89.0,Drama_Crime,images\749.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNWZjNDdiOWUtZDI0Ni00YmY1LTk4MmYtM2Y0YTY3ZTc3OWFiXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Andy Lau and Tony Leung Chiu-wai in Infernal Affairs (2002),https://www.imdb.com/title/tt0338564/?ref_=sr_i_427,https://www.imdb.com/title/tt0338564/?ref_=sr_t_427,427. Infernal Affairs,2002,1h 41m,8.0,( 138K ),"Chen Wing Yan, a policeman, successfully infiltrates a gang while Lau Kin Ming, a triad member, becomes a mole in the police force. However, things change when both of them must seek each other out.",R,75.0,Drama_Crime,images\426.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMTM3MzQ5MjQ5OF5BMl5BanBnXkFtZTcwMTQ3NzMzMw@@._V1_QL75_UY266_CR0,0,180,266_.jpg","Christian Bale, Hugh Jackman, and Scarlett Johansson in The Prestige (2006)",https://www.imdb.com/title/tt0482571/?ref_=sr_i_42,https://www.imdb.com/title/tt0482571/?ref_=sr_t_42,42. The Prestige,2006,2h 10m,8.5,( 1.6M ),"Two friends and fellow magicians become bitter enemies after a sudden tragedy. As they devote themselves to this rivalry, they make sacrifices that bring them fame but, with terrible consequences.",PG-13,66.0,Drama_Crime,images\41.jpg,,True
"https://m.media-amazon.com/images/M/MV5BYWY4MDNmZDgtYjYzZS00YTc5LTgwYTYtNTY4MjgyNWRmNTkyXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg","Sanjay Dutt, Arshad Warsi, and Vidya Balan in Lage Raho Munna Bhai (2006)",https://www.imdb.com/title/tt0456144/?ref_=sr_i_496,https://www.imdb.com/title/tt0456144/?ref_=sr_t_496,496. Lage Raho Munna Bhai,2006,2h 24m,8.0,( 53K ),Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Not Rated,,Action_Adventure,images\495.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNjU0NDFkMTQtZWY5OS00MmZhLTg3Y2QtZmJhMzMzMWYyYjc2XkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg",2001: A Space Odyssey (1968),https://www.imdb.com/title/tt0062622/?ref_=sr_i_109,https://www.imdb.com/title/tt0062622/?ref_=sr_t_109,109. 2001: A Space Odyssey,1968,2h 29m,8.3,( 782K ),"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",G,84.0,Sci_Fi,images\108.jpg,,True
"https://m.media-amazon.com/images/M/MV5BZjliZjBkNTEtODcyOS00ZGFlLWFmMTAtMTBmOTJkNmQ4MDgwXkEyXkFqcGc@._V1_QL75_UX180_CR0,3,180,266_.jpg","Gérard Depardieu, Ernestine Mazurowna, and Yves Montand in Jean de Florette (1986)",https://www.imdb.com/title/tt0091288/?ref_=sr_i_345,https://www.imdb.com/title/tt0091288/?ref_=sr_t_345,345. Jean de Florette,1986,2h,8.1,( 29K ),A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,PG,75.0,Action_Adventure,images\344.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg","Corinne Orr, Ayano Shiraishi, Tsutomu Tatsumi, J. Robert Spencer, Emily Neves, and Adam Gibbs in Grave of the Fireflies (1988)",https://www.imdb.com/title/tt0095327/?ref_=sr_i_57,https://www.imdb.com/title/tt0095327/?ref_=sr_t_57,57. Grave of the Fireflies,1988,1h 28m,8.5,( 383K ),A young boy and his little sister struggle to survive in Japan during World War II.,Not Rated,94.0,Action_Adventure,images\56.jpg,,True
"https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_QL75_UX180_CR0,4,180,266_.jpg",Max von Sydow in The Exorcist (1973),https://www.imdb.com/title/tt0070047/?ref_=sr_i_260,https://www.imdb.com/title/tt0070047/?ref_=sr_t_260,260. The Exorcist,1973,2h 2m,8.1,( 498K ),"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",R,83.0,Drama_Crime,images\259.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNjUzNTVlYzQtOGYxMy00NmExLTgzYTQtOGEyM2YyM2YzYjJkXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Tae Guk Gi: The Brotherhood of War (2004),https://www.imdb.com/title/tt0386064/?ref_=sr_i_480,https://www.imdb.com/title/tt0386064/?ref_=sr_t_480,480. Tae Guk Gi: The Brotherhood of War,2004,2h 20m,8.0,( 42K ),"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",R,64.0,Action_Adventure,images\479.jpg,,True
"https://m.media-amazon.com/images/M/MV5BYjNjMGEzNTUtOTJmMC00OGJkLThhOWYtZmUzYTk3ZWY4MmVmXkEyXkFqcGc@._V1_QL75_UY266_CR2,0,180,266_.jpg",Akshay Kumar and Nimrat Kaur in Airlift (2016),https://www.imdb.com/title/tt4387040/?ref_=sr_i_626,https://www.imdb.com/title/tt4387040/?ref_=sr_t_626,626. Airlift,2016,2h 10m,7.9,( 61K ),"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Not Rated,,Drama_Crime,images\625.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg","Willem Dafoe, Alfred Molina, Thomas Haden Church, Jamie Foxx, Rhys Ifans, Benedict Cumberbatch, Zendaya, and Tom Holland in Spider-Man: No Way Home (2021)",https://www.imdb.com/title/tt10872600/?ref_=sr_i_228,https://www.imdb.com/title/tt10872600/?ref_=sr_t_228,228. Spider-Man: No Way Home,2021,2h 28m,8.1,( 1M ),"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",PG-13,71.0,Drama_Crime,images\227.jpg,,True
"https://m.media-amazon.com/images/M/MV5BOTNlNWFiNTAtZTMxYS00NzgxLTlmOGYtZjY4NWVlNDlmZDJlXkEyXkFqcGc@._V1_QL75_UY266_CR0,0,180,266_.jpg","Abolfazl Ahankhah, Mehrdad Ahankhah, Hossain Farazmand, Mohsen Makhmalbaf, and Hossain Sabzian in Close-Up (1990)",https://www.imdb.com/title/tt0100234/?ref_=sr_i_213,https://www.imdb.com/title/tt0100234/?ref_=sr_t_213,213. Close-Up,1990,1h 38m,8.2,( 27K ),"The true story of Hossain Sabzian, a cinephile who impersonated the director Mohsen Makhmalbaf to convince a family they would star in his so-called new film.",Not Rated,92.0,Animation_Family,images\212.jpg,,True
"https://m.media-amazon.com/images/M/MV5BNjNlYTg0MGItM2VhMy00NTZhLTlmNTktM2NmYmM4YmJhYmZkXkEyXkFqcGc@._V1_QL75_UX180_CR0,0,180,266_.jpg",My Sassy Girl (2001),https://www.imdb.com/title/tt0293715/?ref_=sr_i_594,https://www.imdb.com/title/tt0293715/?ref_=sr_t_594,594. My Sassy Girl,2001,2h 17m,7.9,( 53K ),"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Not Rated,,Drama_Crime,images\593.jpg,,True
"https://m.media-amazon.com/images/M/MV5BODk0MDE2ZGYtYTljNS00Y2NlLWI4NTUtN2U4NTc2ODE2ZTA3XkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",The Message (1976),https://www.imdb.com/title/tt0074896/?ref_=sr_i_333,https://www.imdb.com/title/tt0074896/?ref_=sr_t_333,333. The Message,1976,2h 57m,8.1,( 54K ),"Historical fresco recounting the life and times of the Prophet Mohammed, the last of the Abrahamic religion, in the sense that, according to Islam, he completed and sealed the monotheistic revelation made to Abraham.",PG,,Drama_Crime,images\332.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX180_CR0,0,180,266_.jpg",Movie Poster,https://www.imdb.com/title/tt0120689/?ref_=sr_i_25,https://www.imdb.com/title/tt0120689/?ref_=sr_t_25,25. The Green Mile,1999,3h 9m,8.6,( 1.6M ),A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,R,61.0,Horror_Thriller,images\24.jpg,,True
"https://m.media-amazon.com/images/M/MV5BMTU5MzgzODkwNV5BMl5BanBnXkFtZTgwNDUwNjg3MDE@._V1_QL75_UY266_CR0,0,180,266_.jpg","Masaharu Fukuyama and Keita Ninomiya in Like Father, Like Son (2013)",https://www.imdb.com/title/tt2331143/?ref_=sr_i_781,https://www.imdb.com/title/tt2331143/?ref_=sr_t_781,"781. Like Father, Like Son",2013,2h 1m,7.8,( 31K ),"Ryota is a successful workaholic businessman. When he learns that his biological son was switched with another boy after birth, he faces the difficult decision to choose his true son or the boy he and his wife have raised as their own.",Not Rated,73.0,Drama_Crime,images\780.jpg,,True
"https://m.media-amazon.com/images/M/MV5BN2M5YjUyOTktNTQxNC00MzQ2LTk2NDAtMTFkMjBlODlhOGRlXkEyXkFqcGc@._V1_QL75_UX180_CR0,2,180,266_.jpg",Anand (1971),https://www.imdb.com/title/tt0066763/?ref_=sr_i_352,https://www.imdb.com/title/tt0066763/?ref_=sr_t_352,352. Anand,1971,2h 2m,8.1,( 37K ),"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",Not Rated,,Drama_Crime,images\351.jpg,,True
"https://m.media-amazon.com/images/M/MV5BZDBjM2IyZjgtNTA0NC00OGZhLWI3ODctMGJmODE2N2Y0NGRjXkEyXkFqcGc@._V1_QL75_UY266_CR3,0,180,266_.jpg",Everything's Gonna Be Great (1998),https://www.imdb.com/title/tt0263438/?ref_=sr_i_357,https://www.imdb.com/title/tt0263438/?ref_=sr_t_357,357. Everything's Gonna Be Great,1998,1h 47m,8.1,( 30K ),Two mismatched brothers hit the road after one steals drugs from the other's pharmacy and angers the mob. Their chaotic escape turns into an unexpected chance to repair their relationship.,,,Romance,images\356.jpg,,True
